Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
827651,5679,201,-1.30989,-0.9201466,0.8615385,-1.376313,-1.202442,0.6827839,8.8665,0.28133,-1.2249084,-0.65855918,0.6337485,0.28273,0.0466912,0.04200244,0.02520146,1.950973627,0.27993
827851,5879,200,-1.376313,-1.202442,0.6827839,-1.064713,-1.097924,0.8185593,9.14643,0.27993,-1.3161416,-0.50109888,0.59565326,0.282676,-0.0912332,0.1574603,-0.03809524,1.73467294,0.28133
828060,6088,209,-1.064713,-1.097924,0.8185593,-1.26105,-0.2500611,0.3916972,9.43896,0.29253,-1.2926984,-0.41768006,0.60288158,0.28262,0.0234432,0.08341882,0.00722832,1.343951023,0.27993
828260,6288,200,-1.26105,-0.2500611,0.3916972,-1.568742,0.9650793,0.2236874,9.71862,0.27966,-1.2321366,-0.35848592,0.54525032,0.28228,0.0605618,0.05919414,-0.05763126,1.855361305,0.29253
828460,6488,200,-1.568742,0.9650793,0.2236874,-1.192674,-0.5030525,0.8976801,9.99827,0.27965,-1.3886202,-0.32683764,0.52649572,0.282234,-0.1564836,0.03164828,-0.0187546,1.575234157,0.27966
828660,6688,200,-1.192674,-0.5030525,0.8976801,-1.073504,-0.9064713,0.3946276,10.2779,0.27963,-1.3843222,-0.32820516,0.55365078,0.282608,0.004298,-0.00136752,0.02715506,1.459394394,0.27965
828860,6888,200,-1.073504,-0.9064713,0.3946276,-1.847131,-0.9396826,0.7247863,10.5576,0.2797,-1.3991696,-0.40322346,0.62632478,0.314496,-0.0148474,-0.0750183,0.072674,2.195498007,0.27963
829070,7098,210,-1.847131,-0.9396826,0.7247863,-1.23956,-0.2568987,0.5274725,10.852,0.2944,-1.363028,-0.41592188,0.65269836,0.346826,0.0361416,-0.01269842,0.02637358,1.371398255,0.2797
829270,7298,200,-1.23956,-0.2568987,0.5274725,-1.642979,0.5899878,0.5870574,11.2911,0.4391,-1.3530646,-0.46358982,0.67321118,0.3787,0.0099634,-0.04766794,0.02051282,1.841765997,0.2944
829471,7499,201,-1.642979,0.5899878,0.5870574,-1.011966,-0.5665446,1.029548,11.7324,0.4413,-1.3190718,-0.4460074,0.69665442,0.41058,0.0339928,0.01758242,0.02344324,1.55081174,0.4391
829671,7699,200,-1.011966,-0.5665446,1.029548,-1.023687,-1.144811,0.4971917,12.1714,0.439,-1.3341146,-0.35653242,0.587057356,0.44452,-0.0150428,0.08947498,-0.109597064,1.614226405,0.4413
829871,7899,200,-1.023687,-1.144811,0.4971917,-1.677167,-0.8517705,0.8420025,12.6105,0.4391,-1.4038582,-0.52708188,0.410647096,0.393,-0.0697436,-0.17054946,-0.17641026,2.060914928,0.439
830083,8111,212,-1.677167,-0.8517705,0.8420025,-1.314774,0.1904762,-0.02051282,13.0746,0.4641,-1.35521348,-0.55912094,0.353601956,0.34106,0.04864472,-0.03203906,-0.05704514,1.328658206,0.4391
830283,8311,200,-1.314774,0.1904762,-0.02051282,-1.991697,-0.2627595,-0.2949939,13.2561,0.1815,-1.30520136,-0.61264954,0.372356536,0.28956,0.05001212,-0.0535286,0.01875458,2.030497697,0.4641
830483,8511,200,-1.991697,-0.2627595,-0.2949939,-0.7687424,-0.7267399,0.7443223,13.4377,0.1816,-1.36810736,-0.65347984,0.261391936,0.23804,-0.062906,-0.0408303,-0.1109646,1.293495824,0.1815
830683,8711,200,-0.7687424,-0.7267399,0.7443223,-0.7736264,-1.412454,0.5909646,13.6192,0.1815,-1.32766776,-0.685128194,0.33582418,0.18514,0.0404396,-0.031648354,0.074432244,1.715448416,0.1816
830883,8911,200,-0.7736264,-1.412454,0.5909646,-1.991697,-1.055922,0.2871795,13.8007,0.1815,-1.27863236,-0.772649554,0.27467644,0.18558,0.0490354,-0.08752136,-0.06114774,2.272509686,0.1815
